Fri, Mar 22, 2024
2:10:05 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
130.8700000	-33.0499992	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0347159	0.0407209	0.0065431	-0.0056871	-0.0349292	-0.0416169	-0.0077177	0.0052086
132.2900000	4216.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0476224	0.0536354	-0.0850509	-0.1027870	-0.0478535	-0.0546179	0.0838806	0.1024254
133.9300000	-4230.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0478944	0.0595466	0.1027836	0.0846855	-0.0481284	-0.0605516	-0.1040915	-0.0851643
135.2450000	-33.0600014	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0370181	0.0434576	0.0069861	-0.0061130	-0.0372449	-0.0443719	-0.0081628	0.0056442
136.6450000	4215.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0502555	0.0567557	-0.0849300	-0.1036796	-0.0505035	-0.0577544	0.0837653	0.1033232
138.3550000	-4229.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0505769	0.0627708	0.1037003	0.0845609	-0.0508275	-0.0637820	-0.1049951	-0.0850405
139.7200000	-33.1800003	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0394681	0.0463822	0.0074627	-0.0065787	-0.0397293	-0.0473226	-0.0086309	0.0061087
141.1050000	4214.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0530529	0.0600784	-0.0848107	-0.1046356	-0.0533166	-0.0610849	0.0836549	0.1042865
142.8100000	-4228.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0533915	0.0661604	0.1046811	0.0844474	-0.0536682	-0.0671863	-0.1059603	-0.0849217
144.2150000	-33.2900009	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0420764	0.0495037	0.0079823	-0.0070576	-0.0423512	-0.0504436	-0.0091306	0.0066055
145.6200000	4214.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0559963	0.0635795	-0.0846896	-0.1056597	-0.0562851	-0.0646004	0.0835490	0.1053222
147.1700000	-4227.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0563494	0.0697155	0.1057068	0.0843334	-0.0566370	-0.0707392	-0.1069840	-0.0848061
148.5100000	-33.3100014	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0447826	0.0527297	0.0084997	-0.0075777	-0.0450725	-0.0536826	-0.0096540	0.0071235
149.8050000	4213.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0589440	0.0670711	-0.0845953	-0.1066928	-0.0592385	-0.0680979	0.0834533	0.1063647
151.4250000	-4227.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0593204	0.0732839	0.1067594	0.0842272	-0.0596157	-0.0743120	-0.1080276	-0.0846947
