Mon, Apr 01, 2024
12:40:51 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
95.9650000	-4215.0000000	0.0000050	0.0000050	0.0000050	0.0000050	-0.0000050	-0.0000050	-0.0000050	-0.0000050	-0.0018943	0.0008242	0.0044431	0.0044741	-0.0018989	-0.0022506	-0.0050524	-0.0040936
97.2600000	-33.7099991	0.0000050	0.0000050	0.0000050	0.0000050	-0.0000050	-0.0000050	-0.0000050	-0.0000050	0.0001652	0.0003285	-0.0001067	0.0000090	-0.0014816	-0.0016204	-0.0004857	0.0002204
98.6400000	4207.0000000	0.0000050	0.0000050	0.0000050	0.0000050	-0.0000050	-0.0000050	-0.0000050	-0.0000050	0.0005860	0.0007272	-0.0045549	-0.0045916	-0.0019635	-0.0020707	0.0039759	0.0049147
100.1750000	-4224.0000000	0.0000050	0.0000050	0.0000050	0.0000050	-0.0000050	-0.0000050	-0.0000050	-0.0000050	0.0005679	0.0009454	0.0044895	0.0044742	-0.0019795	-0.0023566	-0.0051002	-0.0041137
101.4600000	-33.5900002	0.0000050	0.0000050	0.0000050	0.0000050	-0.0000050	-0.0000050	-0.0000050	-0.0000050	0.0002472	0.0004152	-0.0000973	-0.0000051	-0.0015467	-0.0016979	-0.0004951	0.0002322
102.8250000	4206.0000000	0.0000050	0.0000050	0.0000050	0.0000050	-0.0000050	-0.0000050	-0.0000050	-0.0000050	0.0007008	0.0008462	-0.0045562	-0.0046358	-0.0020442	-0.0021719	0.0039759	0.0049475
104.3700000	-4223.0000000	0.0000050	0.0000050	0.0000050	0.0000050	-0.0000050	-0.0000050	-0.0000050	-0.0000050	0.0006840	0.0010823	0.0045320	0.0044715	-0.0020587	-0.0024590	-0.0051290	-0.0041132
105.6500000	-33.5299988	0.0000050	0.0000050	0.0000050	0.0000050	-0.0000050	-0.0000050	-0.0000050	-0.0000050	0.0003388	0.0005187	-0.0000815	-0.0000194	-0.0016126	-0.0017848	-0.0005065	0.0002495
106.9000000	4205.0000000	0.0000050	0.0000050	0.0000050	0.0000050	-0.0000050	-0.0000050	-0.0000050	-0.0000050	0.0008073	0.0009664	-0.0045535	-0.0046727	-0.0021310	-0.0022771	0.0039787	0.0049723
108.5650000	-4221.0000000	0.0000050	0.0000050	0.0000050	0.0000050	-0.0000050	-0.0000050	-0.0000050	-0.0000050	0.0008001	0.0012108	0.0045656	0.0044604	-0.0021491	-0.0025707	-0.0051649	-0.0041271
